,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
84,0.09174529711405437,0.012050032640754948,0.01469747225443522,0.0007557547131548037,balanced,entropy,6,,0.005,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'random'}",0.20884196634774002,0.42637362637362636,0.18201970443349755,0.272411765718288,0.10941678523239912,181
107,0.04732473691304525,0.008149547713846959,0.011518557866414389,0.0018691919929606903,balanced,entropy,9,sqrt,0.05,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'best'}",0.2928053541550474,0.26627508565834557,0.22409823484267075,0.2610595582186879,0.02829096859313535,182
143,0.049736579259236656,0.004774588368208278,0.01546025276184082,0.0014938000345683668,balanced,gini,9,sqrt,0.05,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'best'}",0.2897042716319825,0.26627508565834557,0.22409823484267075,0.2600258640443329,0.027145626951511157,183
132,0.08062656720479329,0.01776024447517097,0.01162568728129069,0.0016398960258825074,balanced,gini,9,,0.005,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'random'}",0.2062364927446743,0.2430795847750865,0.2926682692307692,0.24732811558351,0.035413279121050634,184
91,0.05098867416381836,0.001084925693690726,0.017131328582763672,0.0020876373618442033,balanced,entropy,6,sqrt,0.005,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.28484107579462103,0.217440543601359,0.2375,0.24659387313199335,0.028257527980927264,185
127,0.06027762095133463,0.003149035007605014,0.016469717025756836,0.005003476560145998,balanced,gini,6,sqrt,0.005,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.2844932844932845,0.21778447626224567,0.23676148796498905,0.2463464162401731,0.02806444264464311,186
100,0.10683846473693848,0.009510605082005913,0.014871358871459961,0.0010117983565962575,balanced,entropy,9,,0.05,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.2125748502994012,0.2715863453815261,0.23202875399361023,0.23872998322484584,0.024552922336103396,187
96,0.0924692153930664,0.01055255536738193,0.010834296544392904,0.001556204319765841,balanced,entropy,9,,0.005,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'random'}",0.22264675234456408,0.23438138015516538,0.24537444933920705,0.23413419394631219,0.009280189597074016,188
98,0.10208511352539062,0.003421839153122706,0.012437105178833008,0.0018189209921531337,balanced,entropy,9,,0.01,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.19866629619338705,0.2719206680584551,0.22243060765191297,0.2310058573012517,0.030514498512977748,189
105,0.06277036666870117,0.004518746673483167,0.01544650395711263,0.002796404459580479,balanced,entropy,9,sqrt,0.01,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.24253731343283583,0.23446561723280862,0.20265268352868598,0.22655187139811014,0.017217558005321324,190
138,0.05411465962727865,0.009554911111276218,0.015652815500895183,0.002372324975794684,balanced,gini,9,sqrt,0.005,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.1944063613929257,0.21569965870307167,0.267590027700831,0.22589868259894277,0.030735184180220573,191
102,0.06714757283528645,0.009709435452116767,0.015471617380777994,0.0022870527213519126,balanced,entropy,9,sqrt,0.005,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.19519602429596908,0.21642808452624404,0.26483516483516484,0.22548642455245935,0.029142667651656563,192
141,0.04818288485209147,0.004683644701094707,0.012310663859049479,0.0035027136693237667,balanced,gini,9,sqrt,0.01,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.24444444444444444,0.22619984264358772,0.19939209726443768,0.22334546145082332,0.018502956801588425,193
134,0.09476343790690105,0.013302161807809965,0.014063517252604166,0.0034134635975978786,balanced,gini,9,,0.01,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.20562175374274366,0.22118612458038045,0.2430890741553313,0.22329898415948513,0.015368759577481352,194
131,0.05099129676818848,0.003829998714713187,0.015219370524088541,0.0010049652856819894,balanced,gini,6,sqrt,0.05,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'best'}",0.2071767095463778,0.222265625,0.23927765237020315,0.222906662305527,0.013112991755378434,195
